id,profileId,teamId,type,value,normalizedValue,source,isPrimary,createdAt,updatedAt
aa0b6ff4-8d38-40bb-b023-be5f51565388,9b5c2b70-3011-4dc2-a776-4598f3358c86,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511931529434,5511931529434,whatsapp,t,2026-07-07 17:20:54.502+00,2026-07-07 17:20:54.502+00
883c13ea-787c-4422-8bb6-a68f8c8802a9,dc394e64-ae91-4016-80a1-a3a324aa24b9,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511941125313,5511941125313,whatsapp,t,2026-07-13 09:56:30.063+00,2026-07-13 09:56:30.063+00
46f46948-b9ff-4ea1-a2f4-53173465c4ab,c15a2299-1145-4894-a2a6-0794adf7e28e,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511924651308,5511924651308,whatsapp,t,2026-07-02 13:19:52.574+00,2026-07-03 21:35:52.388+00
7354381a-16ec-40d7-ae58-2ef87d756d18,7517b499-138b-480b-bc5c-f78306eeb961,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,cae49db9-0e30-4322-b9c6-f1cc311de7e5,cae49db9-0e30-4322-b9c6-f1cc311de7e5,whatsapp,f,2026-07-02 15:53:29.756+00,2026-07-10 21:34:40.733+00
8129a9ec-2c47-491a-b21e-d671de9195cd,274429bb-6a4d-4c81-aeef-c653b1ea94d2,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,551140033142,551140033142,whatsapp,t,2026-07-03 10:26:35.9+00,2026-07-03 10:26:35.9+00
87b718b8-4330-4cbf-a57e-13a7856c6919,274429bb-6a4d-4c81-aeef-c653b1ea94d2,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,f7b08977-1f69-4c8e-a6f2-dd2a10dea410,f7b08977-1f69-4c8e-a6f2-dd2a10dea410,whatsapp,f,2026-07-03 10:26:35.946+00,2026-07-03 10:26:35.946+00
b0be93c2-9242-477a-919b-14015319fc29,ca5f6154-63cd-4a78-b612-8864333dc1a6,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5514997337305,5514997337305,whatsapp,t,2026-07-07 12:05:16.642+00,2026-07-08 13:50:03.846+00
84afc8bf-f608-4754-83a8-cf2510886574,198b2b62-907d-4fe0-8667-fb423b53a9f0,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,120363405458948123,120363405458948123,whatsapp,t,2026-07-08 12:13:59.474+00,2026-07-09 12:38:25.304+00
641b8471-fe3c-47da-af4a-3ff93386cba4,586f0cc5-66c6-4a47-a041-5e2642b8c239,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511957924165,5511957924165,whatsapp,t,2026-07-05 18:36:35.648+00,2026-07-10 11:56:29.498+00
92020add-72c0-4b85-98a3-abf231149446,890b7c9d-ef11-4d31-9d26-2b69b8a43c48,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511951953981,5511951953981,whatsapp,t,2026-07-02 11:51:21.42+00,2026-07-02 11:51:21.42+00
7f77a7b6-0e5d-47cf-9042-d6a98791cfb2,890b7c9d-ef11-4d31-9d26-2b69b8a43c48,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,16d3d0b8-2f88-49dc-98a2-9ae8a5d88141,16d3d0b8-2f88-49dc-98a2-9ae8a5d88141,whatsapp,f,2026-07-02 11:51:23.074+00,2026-07-02 11:51:23.074+00
d7e29a15-9896-425e-a44b-23a4d362b848,06cec95e-4df1-45da-aa12-62aad21da128,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5516981448965,5516981448965,whatsapp,t,2026-07-07 15:43:33.465+00,2026-07-07 15:43:33.465+00
21e98c3f-2315-4faa-af85-60e29beb2175,32bebde2-965e-4d93-82e5-63e7d39cd4ea,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511984419261,5511984419261,whatsapp,t,2026-07-13 18:23:38.582+00,2026-07-13 18:23:38.582+00
b7eaa0ae-5f0f-4594-bd33-76ba96f135c6,06cec95e-4df1-45da-aa12-62aad21da128,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,whatsapp_contact_id,b2906da9-1a1a-4e12-a1a0-6df33c28ef13,b2906da9-1a1a-4e12-a1a0-6df33c28ef13,whatsapp,f,2026-07-07 15:43:33.498+00,2026-07-07 15:43:33.498+00
aa112a75-c708-44c6-900a-bb659e2c5e44,3d2284e8-717f-4415-b3f1-05e8a9bd4982,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511964950310,5511964950310,whatsapp,t,2026-07-08 13:26:35.98+00,2026-07-08 15:28:58.312+00
8d7e5be8-f4c3-4bfd-9b4c-373ce9e53f5e,c15a2299-1145-4894-a2a6-0794adf7e28e,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,a97ff78b-1563-4744-864c-a52f81bb2740,a97ff78b-1563-4744-864c-a52f81bb2740,whatsapp,f,2026-07-02 13:19:53.168+00,2026-07-23 20:30:31.511+00
057e25a9-e1f8-47a9-b71d-28a3a11f9f45,cb2d01fd-69df-49d5-9aac-88d79cb40f69,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511943145761,5511943145761,whatsapp,t,2026-07-03 12:41:40.505+00,2026-07-03 22:09:49.908+00
7a76fa6e-170b-44c4-b80a-b9535bf15b54,cb2d01fd-69df-49d5-9aac-88d79cb40f69,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,0750250f-f463-4c24-8778-13a8461716e6,0750250f-f463-4c24-8778-13a8461716e6,whatsapp,f,2026-07-03 12:41:40.56+00,2026-07-03 22:09:49.938+00
e6e4f7ec-b7b1-4141-b242-e79d368fa26e,47df7ee9-2dab-48c4-bbeb-aeeab3bf75e6,7b577c22-5513-42cc-ab19-2bf867e14ebc,phone,5522981358326,5522981358326,whatsapp,t,2026-07-03 14:41:44.381+00,2026-07-03 14:41:44.381+00
a963ab57-9fa7-470f-bea0-00cab2695085,ad8ac345-f1eb-4aa8-a77b-6e2887215dfe,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511983287229,5511983287229,whatsapp,t,2026-07-02 11:51:27.014+00,2026-07-02 13:01:42.362+00
daa844d9-00ec-41a6-b652-5ba9668163c7,ad8ac345-f1eb-4aa8-a77b-6e2887215dfe,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,2a029c93-65e7-4fb1-90f1-7cf967aa52bd,2a029c93-65e7-4fb1-90f1-7cf967aa52bd,whatsapp,f,2026-07-02 11:51:28.853+00,2026-07-02 13:01:42.937+00
5d8446b4-3228-4040-951d-ca09a650f61b,47df7ee9-2dab-48c4-bbeb-aeeab3bf75e6,7b577c22-5513-42cc-ab19-2bf867e14ebc,whatsapp_contact_id,45cbc171-0776-42ad-8eb8-3609dff279eb,45cbc171-0776-42ad-8eb8-3609dff279eb,whatsapp,f,2026-07-03 14:41:44.433+00,2026-07-03 14:41:44.433+00
37a680b6-1867-428a-a0a8-a6b37781b25c,eef3a220-9e19-4e66-a080-dc1fc5b47f8d,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5517991059234,5517991059234,whatsapp,t,2026-07-03 20:31:43.321+00,2026-07-03 22:20:12.888+00
c1aae076-affa-4f88-ba0f-a846eab53706,74f5bab4-d582-45fb-b4a4-060bb784c3b9,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511964596939,5511964596939,whatsapp,t,2026-07-02 18:07:24.317+00,2026-07-02 19:01:44.256+00
8955cb84-70a1-41e5-8090-8aa346a7be4c,62708950-de7e-4315-9119-10030fc5ece2,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511985564992,5511985564992,whatsapp,t,2026-07-02 14:42:35.947+00,2026-07-02 16:40:43.918+00
243bf367-15c8-4614-a677-6e2cae431fce,eef3a220-9e19-4e66-a080-dc1fc5b47f8d,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,fe3eeb84-bd90-4667-bc62-0b210b11996d,fe3eeb84-bd90-4667-bc62-0b210b11996d,whatsapp,f,2026-07-03 20:31:43.366+00,2026-07-03 22:20:12.912+00
3174dc80-e14c-4dc9-820b-0c933608be0e,7ebeb651-5e2a-4094-a19f-84b6acb72a63,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511967142152,5511967142152,whatsapp,t,2026-07-09 15:14:47.783+00,2026-07-09 17:20:42.865+00
0ae08773-09f2-45c3-b729-386f052e632b,62708950-de7e-4315-9119-10030fc5ece2,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,6a2bad46-e2a2-4821-a3b7-4b170c17d1cc,6a2bad46-e2a2-4821-a3b7-4b170c17d1cc,whatsapp,f,2026-07-02 14:42:36.55+00,2026-07-02 16:40:43.96+00
397cc2e0-b25a-468e-88fe-1ae55439f4a1,67e27e9c-aacb-498b-9e7d-b4ecc6558e6a,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511942831589,5511942831589,whatsapp,t,2026-07-03 19:16:21.253+00,2026-07-06 13:33:58.513+00
6cd624bd-12e6-4fc9-8afc-ba5cd52e253f,0eecedaa-9fce-477b-87c2-ec50e372f0de,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511949682877,5511949682877,whatsapp,t,2026-07-02 13:03:04.53+00,2026-07-02 13:41:37.28+00
9f32b270-0347-4623-926f-fdc4a42aba40,74f5bab4-d582-45fb-b4a4-060bb784c3b9,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,9625f904-9514-4935-9b0b-bbce538748e3,9625f904-9514-4935-9b0b-bbce538748e3,whatsapp,f,2026-07-02 18:07:24.353+00,2026-07-02 19:01:44.287+00
cffe6652-ba71-4654-8999-b030567a0613,0eecedaa-9fce-477b-87c2-ec50e372f0de,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,eb0d8e80-6715-4a77-967e-e249f012fb27,eb0d8e80-6715-4a77-967e-e249f012fb27,whatsapp,f,2026-07-02 13:03:05.385+00,2026-07-02 13:41:37.893+00
a6fbcb2f-80ca-4e60-9254-1c63fba3dccf,9a5d84ce-3252-4144-afb6-f8386abb57d5,7b577c22-5513-42cc-ab19-2bf867e14ebc,phone,5511964596939,5511964596939,whatsapp,t,2026-07-02 19:07:48.693+00,2026-07-02 19:07:48.693+00
f78a809b-c200-4c64-ad20-fc2adac592bd,c0750d7b-66c2-4e9d-88fd-08e0ae4555bf,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511965999019,5511965999019,whatsapp,t,2026-07-05 00:51:15.045+00,2026-07-06 13:42:14.575+00
bfe0de1b-bd2a-4fe6-94eb-c157ff446a89,9acb376c-ef99-4ccf-a98f-b2d45c0d57ab,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511971613003,5511971613003,whatsapp,t,2026-07-02 17:07:07.225+00,2026-07-02 17:07:25.657+00
0cf55845-2f23-45a9-bd84-c39c8418500f,9acb376c-ef99-4ccf-a98f-b2d45c0d57ab,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,b34c2f05-cb9e-4d17-8318-4f46df8ae9fe,b34c2f05-cb9e-4d17-8318-4f46df8ae9fe,whatsapp,f,2026-07-02 17:07:07.287+00,2026-07-02 17:07:25.672+00
43a37bb9-42ed-4c2c-a3f9-bf2024e2fbd4,9a5d84ce-3252-4144-afb6-f8386abb57d5,7b577c22-5513-42cc-ab19-2bf867e14ebc,whatsapp_contact_id,b116ecb2-2846-4cb7-8043-4f2539db5aaa,b116ecb2-2846-4cb7-8043-4f2539db5aaa,whatsapp,f,2026-07-02 19:07:48.724+00,2026-07-02 19:07:48.724+00
a357b5bc-affe-4229-8d3d-cb3f54927b9a,eb7dfd9a-6654-44d2-a920-a5224cedc718,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511910918134,5511910918134,whatsapp,t,2026-07-02 17:07:39.551+00,2026-07-02 17:36:19.977+00
c872b036-346e-4f42-ba19-b2f7c4b083cf,903551d1-17d9-477f-8ac6-1ea49c066ec2,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511947410019,5511947410019,whatsapp,t,2026-07-02 18:49:08.133+00,2026-07-02 18:49:27.526+00
a91b14fa-9c09-4fcb-b22b-4516f1135094,eb7dfd9a-6654-44d2-a920-a5224cedc718,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,75d3b2e3-c433-434f-9488-dbaa2e8c2ead,75d3b2e3-c433-434f-9488-dbaa2e8c2ead,whatsapp,f,2026-07-02 17:07:39.587+00,2026-07-02 17:36:19.998+00
3fbf738b-c24c-4b28-91fb-95d79b42931b,903551d1-17d9-477f-8ac6-1ea49c066ec2,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,96e518e2-9319-44e3-82a2-71d529d3af4c,96e518e2-9319-44e3-82a2-71d529d3af4c,whatsapp,f,2026-07-02 18:49:08.164+00,2026-07-02 18:49:27.6+00
af132632-1edc-4cfd-a1c9-fcb6cd092501,fa849832-a591-4b5e-a304-4de18575b686,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,5511945486791,5511945486791,whatsapp,t,2026-07-03 18:35:39.117+00,2026-07-03 18:35:45.397+00
fdf53894-5f37-483d-b741-b2e33ec939df,6e6835a8-0cb1-4938-ac4a-e1a6e0a85c0f,a9c81e05-8b1a-47ad-a80d-dbc45603f068,phone,5511975246311,5511975246311,whatsapp,t,2026-07-02 13:16:28.021+00,2026-07-02 18:36:14.208+00
39cd9d8f-ed2b-46da-9f94-4eaadbdcbc9b,6e6835a8-0cb1-4938-ac4a-e1a6e0a85c0f,a9c81e05-8b1a-47ad-a80d-dbc45603f068,whatsapp_contact_id,7a3a62b1-e790-45cd-9c54-c1b7c6d287c8,7a3a62b1-e790-45cd-9c54-c1b7c6d287c8,whatsapp,f,2026-07-02 13:16:28.643+00,2026-07-02 18:36:14.225+00
3f9b3de3-2eed-4047-9004-b442f86ee564,fa849832-a591-4b5e-a304-4de18575b686,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,04676610-02e4-4ebc-9626-c803b03d9a27,04676610-02e4-4ebc-9626-c803b03d9a27,whatsapp,f,2026-07-03 18:35:39.162+00,2026-07-03 18:35:45.42+00
c852f501-d395-48ab-8d3a-7d1b81127afd,538b5ebd-58a6-4fac-b849-a712d72bdcbd,7b577c22-5513-42cc-ab19-2bf867e14ebc,phone,5511975246311,5511975246311,whatsapp,t,2026-07-02 19:10:56.481+00,2026-07-02 19:13:22.859+00
ac7b76f2-763e-475f-bb47-2df3cd96c213,538b5ebd-58a6-4fac-b849-a712d72bdcbd,7b577c22-5513-42cc-ab19-2bf867e14ebc,whatsapp_contact_id,fc78f0c0-cbe6-4d2a-a5a1-371794589558,fc78f0c0-cbe6-4d2a-a5a1-371794589558,whatsapp,f,2026-07-02 19:10:56.51+00,2026-07-02 19:13:22.888+00
399a2f73-df03-4d16-8b2a-1b90d84c50fd,d24d332e-6120-4779-b852-fb320f7ea4ae,32ccdbe1-627f-4fe3-a506-056b997ed89b,phone,556132073332,556132073332,whatsapp,t,2026-07-03 21:25:11.587+00,2026-07-03 21:25:11.587+00
d9ffc325-f93b-4ad9-aa3c-cbe454d5fd21,d24d332e-6120-4779-b852-fb320f7ea4ae,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,798a97ba-64cd-453f-baa6-42b21cff41e5,798a97ba-64cd-453f-baa6-42b21cff41e5,whatsapp,f,2026-07-03 21:25:11.67+00,2026-07-03 21:25:11.67+00
a7448fc9-4997-4fde-8899-b9891aef87af,80ec72cd-18f5-4cce-9e9a-dd95b96e41fa,7b577c22-5513-42cc-ab19-2bf867e14ebc,phone,5521999229417,5521999229417,whatsapp,t,2026-07-08 12:26:22.568+00,2026-07-08 12:32:38.208+00
d6d23132-76a9-463b-a235-594a62d7ff24,92ce20b5-2024-4e08-91d4-1247ac6c5752,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,whatsapp_contact_id,05fdc044-8af9-4dd7-8be5-8eb084b421af,05fdc044-8af9-4dd7-8be5-8eb084b421af,whatsapp,f,2026-07-07 14:29:41.323+00,2026-07-14 16:02:34.882+00
b2dabcaf-e6d8-4005-a144-c4339553ed6e,28b9d997-5e49-4199-9ff0-392d5d2e187c,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511944510958,5511944510958,whatsapp,t,2026-07-07 18:56:44.869+00,2026-07-14 19:57:25.1+00
f46d76d4-b366-4ec8-b75e-2f86ebdcccc9,c0750d7b-66c2-4e9d-88fd-08e0ae4555bf,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,add8ff1e-94c7-4eda-97d0-880d710579c7,add8ff1e-94c7-4eda-97d0-880d710579c7,whatsapp,f,2026-07-05 00:51:15.124+00,2026-07-06 13:42:14.668+00
5ea5fccf-7372-48b0-8df1-8ccaecf9b785,198b2b62-907d-4fe0-8667-fb423b53a9f0,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,whatsapp_contact_id,fd2b13fd-bb94-49d5-995c-89a9f465f811,fd2b13fd-bb94-49d5-995c-89a9f465f811,whatsapp,f,2026-07-08 12:13:59.499+00,2026-07-09 12:38:25.335+00
db2b2415-bbb7-41fe-b4f3-f59439fb53ba,32bebde2-965e-4d93-82e5-63e7d39cd4ea,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,whatsapp_contact_id,758fdaf1-ccc0-4c48-a317-1fb51aadab20,758fdaf1-ccc0-4c48-a317-1fb51aadab20,whatsapp,f,2026-07-13 18:23:38.664+00,2026-07-13 18:23:38.664+00
a49c9caf-f898-4c8e-906c-8bb7b7881dfa,586f0cc5-66c6-4a47-a041-5e2642b8c239,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,74580569-1c14-44dc-a19f-0aaac5c93c5b,74580569-1c14-44dc-a19f-0aaac5c93c5b,whatsapp,f,2026-07-05 18:36:35.704+00,2026-07-10 11:56:29.528+00
1ac08eac-9d71-430e-9f4f-908f276eba36,c496e72b-84bb-47f3-b44e-1d352af69b65,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511939111615,5511939111615,whatsapp,t,2026-07-07 14:46:00.435+00,2026-07-14 20:08:32.909+00
066dbd04-f7be-49a0-b40d-9dc9769c1669,ca5f6154-63cd-4a78-b612-8864333dc1a6,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,747b5fdb-f101-4376-9059-de1e42c6c618,747b5fdb-f101-4376-9059-de1e42c6c618,whatsapp,f,2026-07-07 12:05:16.679+00,2026-07-08 13:50:03.872+00
88c3af6f-af6b-433b-b9b2-0fcc007dee82,7f9ba701-2fbf-4765-b818-f0117bbe4916,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511964340552-1612386114,55119643405521612386114,whatsapp,t,2026-07-07 13:38:58.317+00,2026-07-14 21:55:53.721+00
65965e25-3bd3-49af-b171-143d9f3d8ffc,92ce20b5-2024-4e08-91d4-1247ac6c5752,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5511936203330,5511936203330,whatsapp,t,2026-07-07 14:29:41.277+00,2026-07-14 16:02:34.846+00
cbac540c-f68f-441f-b95b-4b64e296997f,abf3449b-17d8-4bc6-87f3-6790c772a1fc,32ccdbe1-627f-4fe3-a506-056b997ed89b,whatsapp_contact_id,1ee488b6-31a4-479f-9027-654ebd27bc8c,1ee488b6-31a4-479f-9027-654ebd27bc8c,whatsapp,f,2026-07-02 12:56:49.044+00,2026-07-09 21:32:33.661+00
dc9d0bda-d3ee-438e-86bb-c9d1332d6456,59c63736-5f0e-45bf-8c42-748094f94b74,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,phone,5517992727605,5517992727605,whatsapp,t,2026-07-07 13:53:45.255+00,2026-07-14 18:29:54.524+00
b5ba3d4b-40c4-4820-b478-ab95d7aa3988,9b5c2b70-3011-4dc2-a776-4598f3358c86,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,whatsapp_contact_id,6b5fd8e7-dea3-48be-8dc9-662328184f2d,6b5fd8e7-dea3-48be-8dc9-662328184f2d,whatsapp,f,2026-07-07 17:20:54.54+00,2026-07-07 17:20:54.54+00
